speciesKey,species,scientificName,genus,family,order,class,numberOfOccurrences,iucnRedListCategory
3120060,Achillea millefolium,Achillea millefolium L.,Achillea,Asteraceae,Asterales,Magnoliopsida,186173,LC
5358748,Trifolium repens,Trifolium repens L.,Trifolium,Fabaceae,Fabales,Magnoliopsida,176681,
8324121,Trifolium pratense,Trifolium pratense L.,Trifolium,Fabaceae,Fabales,Magnoliopsida,166193,LC
5376075,Alliaria petiolata,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria,Brassicaceae,Brassicales,Magnoliopsida,159299,
2926557,Glechoma hederacea,Glechoma hederacea L.,Glechoma,Lamiaceae,Lamiales,Magnoliopsida,146518,
8208358,Plantago lanceolata,Plantago lanceolata L.,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,136207,
9094061,Ficaria verna,Ficaria verna Huds.,Ficaria,Ranunculaceae,Ranunculales,Magnoliopsida,128129,
5341297,Prunella vulgaris,Prunella vulgaris L.,Prunella,Lamiaceae,Lamiales,Magnoliopsida,127043,LC
3189866,Acer negundo,Acer negundo L.,Acer,Sapindaceae,Sapindales,Magnoliopsida,126327,LC
5394163,Taraxacum officinale,Taraxacum officinale Weber ex F.H.Wigg.,Taraxacum,Asteraceae,Asterales,Magnoliopsida,122776,
2926682,Lamium purpureum,Lamium purpureum L.,Lamium,Lamiaceae,Lamiales,Magnoliopsida,118318,
3170247,Asclepias syriaca,Asclepias syriaca L.,Asclepias,Apocynaceae,Gentianales,Magnoliopsida,115018,LC
3113414,Cirsium arvense,Cirsium arvense (L.) Scop.,Cirsium,Asteraceae,Asterales,Magnoliopsida,114493,
3171949,Verbascum thapsus,Verbascum thapsus L.,Verbascum,Scrophulariaceae,Lamiales,Magnoliopsida,113850,
5392252,Cichorium intybus,Cichorium intybus L.,Cichorium,Asteraceae,Asterales,Magnoliopsida,112396,
7960979,Urtica dioica,Urtica dioica L.,Urtica,Urticaceae,Rosales,Magnoliopsida,112016,LC
3117424,Bellis perennis,Bellis perennis L.,Bellis,Asteraceae,Asterales,Magnoliopsida,111942,
6428353,Chamaenerion angustifolium,Chamaenerion angustifolium (L.) Scop.,Chamaenerion,Onagraceae,Myrtales,Magnoliopsida,109693,
3034742,Daucus carota,Daucus carota L.,Daucus,Apiaceae,Apiales,Magnoliopsida,109403,LC
3112801,Cirsium vulgare,Cirsium vulgare (Savi) Ten.,Cirsium,Asteraceae,Asterales,Magnoliopsida,108600,
3084015,Phytolacca americana,Phytolacca americana L.,Phytolacca,Phytolaccaceae,Caryophyllales,Magnoliopsida,105403,
3149879,Tussilago farfara,Tussilago farfara L.,Tussilago,Asteraceae,Asterales,Magnoliopsida,103064,
2890668,Geranium robertianum,Geranium robertianum L.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,101876,
5334186,Chelidonium majus,Chelidonium majus L.,Chelidonium,Papaveraceae,Ranunculales,Magnoliopsida,97339,
3120946,Artemisia vulgaris,Artemisia vulgaris L.,Artemisia,Asteraceae,Asterales,Magnoliopsida,89779,
3190628,Toxicodendron radicans,Toxicodendron radicans (L.) Kuntze,Toxicodendron,Anacardiaceae,Sapindales,Magnoliopsida,87794,LC
5357013,Lotus corniculatus,Lotus corniculatus L.,Lotus,Fabaceae,Fabales,Magnoliopsida,87675,
7568403,Larrea tridentata,Larrea tridentata (DC.) Coult.,Larrea,Zygophyllaceae,Zygophyllales,Magnoliopsida,86975,
3189767,Plantago major,Plantago major L.,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,86735,LC
3188736,Lythrum salicaria,Lythrum salicaria L.,Lythrum,Lythraceae,Myrtales,Magnoliopsida,86433,LC
2932737,Solanum dulcamara,Solanum dulcamara L.,Solanum,Solanaceae,Solanales,Magnoliopsida,83887,
3033839,Podophyllum peltatum,Podophyllum peltatum L.,Podophyllum,Berberidaceae,Ranunculales,Magnoliopsida,80477,LC
3118274,Tanacetum vulgare,Tanacetum vulgare L.,Tanacetum,Asteraceae,Asterales,Magnoliopsida,80231,
8351737,Hedera helix,Hedera helix L.,Hedera,Araliaceae,Apiales,Magnoliopsida,78404,
3172077,Veronica persica,Veronica persica Poir.,Veronica,Plantaginaceae,Lamiales,Magnoliopsida,78144,
3039194,Parthenocissus quinquefolia,Parthenocissus quinquefolia (L.) Planch.,Parthenocissus,Vitaceae,Vitales,Magnoliopsida,77533,LC
2882274,Fagus grandifolia,Fagus grandifolia Ehrh.,Fagus,Fagaceae,Fagales,Magnoliopsida,76770,LC
3190653,Ailanthus altissima,Ailanthus altissima (Mill.) Swingle,Ailanthus,Simaroubaceae,Sapindales,Magnoliopsida,75144,LC
2891774,Impatiens capensis,Impatiens capensis Meerb.,Impatiens,Balsaminaceae,Ericales,Magnoliopsida,74388,LC
7874883,Veronica chamaedrys,Veronica chamaedrys L.,Veronica,Plantaginaceae,Lamiales,Magnoliopsida,73663,
5290149,Phragmites australis,Phragmites australis (Cav.) Trin. ex Steud.,Phragmites,Poaceae,Poales,Liliopsida,73634,LC
3189846,Acer platanoides,Acer platanoides L.,Acer,Sapindaceae,Sapindales,Magnoliopsida,73418,LC
2928390,Convolvulus arvensis,Convolvulus arvensis L.,Convolvulus,Convolvulaceae,Solanales,Magnoliopsida,73178,
2888353,Monotropa uniflora,Monotropa uniflora L.,Monotropa,Ericaceae,Ericales,Magnoliopsida,71281,
